sa2_code21,sa2_name21,z_num_stops,z_num_pois,z_sum,final_score
117011320,Banksmeadow,-1.2887860881858473,-0.5791631819999705,-1.8679492701858178,0.13377918743038025
117011321,Botany,-0.642867959622705,-0.5791631819999705,-1.2220311416226757,0.22757920491256017
117011323,Pagewood - Hillsdale - Daceyville,-0.4490925210537624,-0.5791631819999705,-1.028255703053733,0.2634224122332827
117011634,Eastlakes,-0.6816230473364936,-0.5791631819999705,-1.260786229336464,0.2208385769105291
117011635,Mascot,-0.41033743333997386,-0.5791631819999705,-0.9895006153399444,0.2710107267551526
117021327,Petersham - Stanmore,-0.3845007081974482,-0.5791631819999705,-0.9636638901974187,0.2761452230372764
117021328,Sydenham - Tempe - St Peters,-0.5782761467663908,-0.5791631819999705,-1.1574393287663614,0.2391328837850653
117021636,Marrickville - North,-0.6299495970514423,-0.5791631819999705,-1.209112779051413,0.22985807212353343
117021637,Marrickville - South,-0.5653577841951279,-0.5791631819999705,-1.1445209661950986,0.24149127342802884
117031329,Darlinghurst,-0.7978883104778591,-0.5791631819999705,-1.3770514924778297,0.20148296046786712
117031330,Erskineville - Alexandria,0.3260092332220082,-0.5791631819999705,-0.2531539487779623,0.4370473576706192
117031331,Glebe - Forest Lodge,-0.10029673162966564,-0.5791631819999705,-0.6794599136296362,0.3363818549355421
117031333,Potts Point - Woolloomooloo,-0.6816230473364936,-0.5791631819999705,-1.260786229336464,0.2208385769105291
117031336,Surry Hills,-0.7332964976215449,-0.5791631819999705,-1.3124596796215156,0.2120755417942293
117031638,Camperdown - Darlington,-0.9529086613330133,-0.5791631819999705,-1.5320718433329839,0.1776907525912923
117031639,Chippendale,-1.3662962636134244,-0.5791631819999705,-1.945459445613395,0.12504930402118475
117031640,Newtown (NSW),-0.9270719361904876,-0.5791631819999705,-1.506235118190458,0.18149741881087333
117031641,Pyrmont,-0.9529086613330133,-0.5791631819999705,-1.5320718433329839,0.1776907525912923
117031642,Redfern,-0.642867959622705,-0.5791631819999705,-1.2220311416226757,0.22757920491256017
117031643,Rosebery - Beaconsfield,-0.6041128719089165,-0.5791631819999705,-1.183276053908887,0.2344636643870973
117031644,Sydney (North) - Millers Point,0.8039886483587334,-0.5791631819999705,0.22482546635876288,0.5559708043222577
117031645,Sydney (South) - Haymarket,-0.5266026964813395,-0.5791631819999705,-1.10576587848131,0.24866110210132533
117031646,Ultimo,-1.2112759127582702,-0.5791631819999705,-1.7904390947582407,0.1430188976175992
117031647,Waterloo,-0.7332964976215449,-0.5791631819999705,-1.3124596796215156,0.2120755417942293
117031648,Zetland,-1.1208473747594303,-0.5791631819999705,-1.7000105567594008,0.154463886315117
120011383,Concord - Mortlake - Cabarita,0.8298253735012591,-0.5791631819999705,0.25066219150128854,0.5623394820672253
120011385,Drummoyne - Rodd Point,0.261417420365694,-0.5791631819999705,-0.31774576163427654,0.4212252210370425
120011386,Five Dock - Abbotsford,0.8556620986437847,-0.5791631819999705,0.2764989166438142,0.5686876785426735
120011672,Concord West - North Strathfield,-0.5266026964813395,-0.5791631819999705,-1.10576587848131,0.24866110210132533
120011673,Rhodes,-0.9658270239042761,-0.5791631819999705,-1.5449902059042466,0.17581101626361637
120021387,Balmain,-0.5653577841951279,-0.5791631819999705,-1.1445209661950986,0.24149127342802884
120021389,Lilyfield - Rozelle,-0.41033743333997386,-0.5791631819999705,-0.9895006153399444,0.2710107267551526
120021674,Annandale (NSW),-1.0045821116180647,-0.5791631819999705,-1.5837452936180352,0.17026571092564596
120021675,Leichhardt,-0.28115380762734543,-0.5791631819999705,-0.860316989627316,0.29727312169232895
120031392,Canterbury (North) - Ashbury,-0.16488854448597987,-0.5791631819999705,-0.7440517264859504,0.3221187788764187
120031393,Croydon Park - Enfield,-0.04862328134461427,-0.5791631819999705,-0.6277864633445848,0.34801261979165304
120031394,Dulwich Hill - Lewisham,-0.35866398305492253,-0.5791631819999705,-0.937827165054893,0.28133945399123883
120031395,Haberfield - Summer Hill,-0.08737836905840281,-0.5791631819999705,-0.6665415510583733,0.3392716773864331
120031396,Homebush,-0.5395210590526023,-0.5791631819999705,-1.1186842410525728,0.24625542487933938
120031576,Strathfield South,-0.9270719361904876,-0.5791631819999705,-1.506235118190458,0.18149741881087333
120031676,Ashfield - North,-0.6299495970514423,-0.5791631819999705,-1.209112779051413,0.22985807212353343
120031677,Ashfield - South,-0.13905181934345417,-0.5791631819999705,-0.7182150013434248,0.3277861728446374
120031678,Burwood (NSW),-0.5653577841951279,-0.5791631819999705,-1.1445209661950986,0.24149127342802884
120031679,Croydon,-0.319908895341134,-0.5791631819999705,-0.8990720773411045,0.28924122308647443
120031680,Strathfield - East,-0.04862328134461427,-0.5791631819999705,-0.6277864633445848,0.34801261979165304
120031681,Strathfield - West,0.3906010460783224,-0.5791631819999705,-0.1885621359216481,0.45299864731356454
121011399,Chatswood (West) - Lane Cove North,1.1915395254966186,0.2474513135129077,1.4389908390095263,0.8082983284316558
121011401,St Leonards - Naremburn,-0.9658270239042761,0.13674401500671865,-0.8290830088975575,0.3038389980270412
121011682,Artarmon,-1.069173924474379,-0.19537788051184848,-1.2645518049862274,0.22019131961506483
121011683,Castle Cove - Northbridge,1.0494375372127274,1.0371633761903896,2.086600913403117,0.8895940210896527
121011684,Chatswood - East,0.33892759579327103,0.446724450824048,0.785652046617319,0.6868969790833612
121011685,Greenwich - Riverview,1.165702800354093,2.4394558239354507,3.605158624289544,0.9735362354538932
121011686,Lane Cove,0.7393968355024192,0.5352902896289993,1.2746871251314185,0.7815440505593377
