sa2_code21,sa2_name21,stops,schools,parks,businesses,z_stops,z_schools,z_businesses,z_parks,z_total,real_score
121011399,Chatswood (West) - Lane Cove North,210,2.871912693854107,47,4.714119019836639,0.33634449398206495,-0.7241642887001986,-0.7479591317835396,-0.3879609861551443,-1.5237399126568176,0.17891145830729802
121011686,Lane Cove,175,2.4656569214512154,57,7.84633732973448,-0.06375157075477034,-0.9539728378128585,0.14603733715522996,-0.21006000484943438,-1.0817470762618333,0.2531755411006363
121031409,Pymble,283,5.154639175257732,97,6.3144479202873365,1.17083057186175,0.5671159744936211,-0.29119391154885876,0.5015439203734052,1.9482965551799176,0.8752607796737893
121021406,Normanhurst - Thornleigh - Westleigh,308,4.225352112676056,78,4.583572061044847,1.4566134752452038,0.04144193841058188,-0.7852197913683959,0.16353205589255643,0.8763676781799462,0.7060689497073839
121041689,Mosman - South,189,1.444564824846515,38,6.215422443822143,0.09628685513996378,-1.5315786447241202,-0.31945772254029303,-0.5480718693302832,-2.3028213814547325,0.09088956482468308
121031410,St Ives,256,3.6188178528347406,98,6.981123409727645,0.86218503620762,-0.30165905291027806,-0.10091166602201333,0.5193340185039763,0.978948335779305,0.7268994933398979
121011682,Artarmon,35,5.125284738041002,15,4.224310909282924,-1.6641358297021116,0.5505109165841784,-0.8877599623670483,-0.957244126333416,-2.9586290018183976,0.04933026178223626
121011684,Chatswood - East,144,3.621001810500905,28,17.096611026808297,-0.41812237095025306,-0.30042364365168167,2.786246672426912,-0.7259728506359931,1.3417278071889842,0.7927739351090266
121011401,St Leonards - Naremburn,43,7.8796561604584525,27,13.348907058234607,-1.5726853006194064,2.10858871707729,1.7165785385215304,-0.7437629487665641,1.50871900621285,0.8188712860398185
121021403,Asquith - Mount Colah,368,3.847798204360838,69,4.066142586066685,2.142492443365493,-0.17213069680034096,-0.9329043004888363,0.003421172717417518,1.0408786187937333,0.7390195005925105
121021578,Hornsby - West,158,7.751937984496124,26,5.913827090960293,-0.2580839450555189,2.036341796031426,-0.40553894480210595,-0.7615530468971351,0.6111658592766659,0.6482067044505332
121041688,Mosman - North,172,1.7436791630340018,31,8.321273516642547,-0.09804551916078479,-1.362377277636861,0.28159342937439075,-0.6726025562442801,-1.8514319236675352,0.13570486041425864
121021404,Berowra - Brooklyn - Cowan,191,4.489337822671156,39,2.9678622911896886,0.11914948741064009,0.19077193473685075,-1.2463750130577471,-0.5302817711997122,-1.4667353621099686,0.1874393300547457
121031408,Lindfield - Roseville,329,2.2992571630703926,110,6.382806819099944,1.696671114087305,-1.0481009453841414,-0.2716829426084445,0.7328151960708281,1.1097024221655474,0.7520736295704645
121031407,Gordon - Killara,194,4.534212695795548,110,8.587110481586404,0.15344343581665454,0.21615650816293389,0.35746850718177337,0.7328151960708281,1.4598836472321899,0.8115148782886673
121041414,Crows Nest - Waverton,107,3.6997885835095135,88,8.094921268573962,-0.8410810679577646,-0.2558559716964367,0.21698806330836223,0.34143303719826634,-0.5385159391475727,0.36853288012471624
121011685,Greenwich - Riverview,208,3.4129692832764507,81,5.469953775038521,0.31348186171138864,-0.4181023487859439,-0.5322290850890229,0.2169023502842694,-0.4199472218793087,0.39652937954497924
121021577,Hornsby - East,71,8.338678640153944,30,9.834972495415903,-1.252608448829938,2.3682460493165043,0.7136327727954239,-0.6903926543748511,1.138877718907139,0.7574735272606171
121011683,Castle Cove - Northbridge,199,2.450980392156863,61,7.2022572022572025,0.2106000164933453,-0.9622749768401896,-0.03779574940159399,-0.13889961232715042,-0.9283703220755887,0.28325545775862954
121021579,Wahroonga (West) - Waitara,77,4.870920603994155,22,4.205568172260072,-1.1840205520179092,0.4066236008523711,-0.8931095067023611,-0.8327134394194191,-2.5032198972873183,0.07563276130205428
121011687,Willoughby,128,3.0906593406593403,17,7.447788697788698,-0.6010234291156634,-0.6004248788495083,0.03228374963101705,-0.921663930072274,-2.0908284884064288,0.10999144466642075
121031412,Wahroonga (East) - Warrawee,239,4.054376341521584,133,5.426441569831177,0.6678526619068714,-0.05527470310327972,-0.5446483209028806,1.1419874530739609,1.2099170909746717,0.7702842789210834
121041417,North Sydney - Lavender Bay,121,3.6133694670280034,53,16.298298616632213,-0.6810426420630306,-0.3047410660712149,2.5583926708229514,-0.28122039737171833,1.2913885653169874,0.7843821255300725
121031411,Turramurra,273,6.076186024772143,290,6.003641553073176,1.0565174105083686,1.0884115690734415,-0.37990413775981813,3.935032859573606,5.700057701395598,0.9966653844684326
121041413,Cremorne - Cammeray,125,3.669724770642202,100,4.79224814366212,-0.6353173775216779,-0.2728623053540903,-0.7256595492159573,0.5549142147651183,-1.0789250173266072,0.2537095010523693
121041416,Neutral Bay - Kirribilli,92,3.6036036036036037,44,8.361686177267748,-1.0125508099878369,-0.31026536641806146,0.29312799444132204,-0.4413312805468573,-1.4710194625114335,0.18678771014016277
